TEAM_ID,TEAM_NAME_base,GP_base,W_base,L_base,W_PCT_base,MIN_base,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK_base,W_RANK_base,L_RANK_base,W_PCT_RANK_base,MIN_RANK_base,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TEAM_NAME_advanced,GP_advanced,W_advanced,L_advanced,W_PCT_advanced,MIN_advanced,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK_advanced,W_RANK_advanced,L_RANK_advanced,W_PCT_RANK_advanced,MIN_RANK_advanced,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
1610612737,Atlanta Hawks,82,43,39,0.524,48.1,41.5,88.3,0.47,12.9,34.4,0.374,18.1,22.3,0.812,10.0,33.9,44.0,24.6,11.9,7.2,4.2,4.5,18.7,20.3,113.9,1.6,1,16,16,16,30,11,13,7,11,18,2,3,11,4,17,17,20,15,1,22,23,10,7,6,6,14,Atlanta Hawks,82,43,39,0.524,3941.0,114.0,115.4,112.1,113.7,1.9,1.6,0.593,2.08,18.1,0.269,0.731,0.501,0.12,0.543,0.581,100.0,98.67,82.22,8099,0.509,1,16,16,16,30,2,26,14,22,4,14,17,12,14,1,8,6,17,14
1610612738,Boston Celtics,82,51,31,0.622,48.5,40.7,87.4,0.466,13.2,37.1,0.356,17.0,20.9,0.816,10.5,35.5,46.1,24.8,13.6,7.2,5.8,4.6,18.5,19.4,111.8,7.3,1,6,6,6,2,13,18,15,8,9,14,14,24,2,11,4,5,14,13,19,2,11,5,20,12,2,Boston Celtics,82,51,31,0.622,3981.0,112.1,113.6,104.0,106.2,8.1,7.4,0.609,1.82,18.2,0.277,0.725,0.509,0.139,0.542,0.578,99.0,97.26,81.05,8068,0.547,1,6,6,6,2,9,1,2,14,11,10,11,16,10,13,9,9,24,2
1610612751,Brooklyn Nets,82,44,38,0.537,48.2,42.0,88.4,0.475,11.5,31.7,0.361,17.5,21.7,0.805,10.3,34.1,44.4,25.3,14.1,7.1,5.5,4.9,20.4,19.7,112.9,0.8,1,14,14,14,19,5,12,4,24,28,10,10,14,6,14,15,13,10,17,24,5,21,22,16,9,15,Brooklyn Nets,82,44,38,0.537,3951.0,111.0,113.2,109.6,112.3,1.3,0.9,0.602,1.8,18.3,0.281,0.704,0.499,0.141,0.54,0.576,101.6,99.4,82.83,8177,0.512,1,14,14,14,19,10,20,15,16,13,9,9,30,15,18,11,11,11,11
1610612766,Charlotte Hornets,82,43,39,0.524,48.5,42.8,91.4,0.468,13.9,38.2,0.365,15.8,21.4,0.74,10.8,33.7,44.6,28.1,13.3,8.6,4.9,4.6,19.9,19.6,115.3,0.4,1,16,16,16,3,4,3,11,5,6,6,25,19,27,9,21,12,1,10,5,11,12,18,18,4,16,Charlotte Hornets,82,43,39,0.524,3976.0,111.7,113.6,111.0,113.1,0.7,0.5,0.656,2.12,19.6,0.27,0.706,0.486,0.131,0.544,0.572,102.3,100.52,83.76,8322,0.504,1,16,16,16,3,8,22,16,3,2,2,14,29,27,9,7,13,5,15
1610612741,Chicago Bulls,82,46,36,0.561,48.1,41.7,86.9,0.48,10.6,28.8,0.369,17.5,21.5,0.813,8.7,33.7,42.3,23.9,12.8,7.1,4.1,5.0,18.8,18.2,111.6,-0.4,1,12,12,12,24,7,20,3,29,30,4,9,17,3,29,22,28,19,6,23,25,24,8,28,13,20,Chicago Bulls,82,46,36,0.561,3946.0,111.0,112.7,111.1,113.2,-0.1,-0.5,0.572,1.86,17.8,0.249,0.735,0.495,0.13,0.541,0.579,100.4,98.76,82.3,8124,0.496,1,12,12,12,24,13,23,20,27,10,17,28,7,17,6,10,8,14,20
1610612739,Cleveland Cavaliers,82,44,38,0.537,48.1,39.7,84.6,0.469,11.6,32.8,0.355,16.8,22.1,0.76,10.2,34.0,44.2,25.2,14.4,7.1,4.2,4.6,17.5,20.0,107.8,2.1,1,14,14,14,24,21,29,9,20,22,15,18,12,21,16,16,15,11,22,26,24,15,1,11,25,13,Cleveland Cavaliers,82,44,38,0.537,3946.0,109.4,111.0,107.0,108.9,2.4,2.1,0.634,1.75,18.7,0.277,0.724,0.506,0.148,0.538,0.571,98.4,96.83,80.69,7964,0.517,1,14,14,14,24,20,5,13,6,21,7,12,18,12,27,14,15,25,7
1610612742,Dallas Mavericks,82,52,30,0.634,48.2,39.3,85.1,0.461,13.1,37.4,0.35,16.4,21.2,0.771,9.3,33.8,43.0,23.4,12.5,6.7,4.0,3.7,19.7,20.1,108.0,3.3,1,5,5,5,19,25,27,18,10,8,19,22,22,16,24,20,24,25,3,29,28,1,14,10,24,8,Dallas Mavericks,82,52,30,0.634,3951.0,110.5,112.5,106.8,109.1,3.7,3.5,0.595,1.87,17.8,0.256,0.733,0.496,0.13,0.538,0.572,97.5,95.64,79.7,7871,0.511,1,5,5,5,19,14,7,7,20,9,18,23,10,16,7,13,14,30,12
1610612743,Denver Nuggets,82,48,34,0.585,48.3,41.7,86.3,0.483,12.7,35.9,0.353,16.7,21.0,0.795,9.2,34.9,44.1,27.8,14.5,7.2,3.7,4.8,20.0,19.9,112.7,2.3,1,10,10,10,8,8,23,2,14,13,16,19,23,8,25,9,17,3,26,18,29,17,20,13,10,11,Denver Nuggets,82,48,34,0.585,3961.0,111.7,113.8,110.3,111.5,1.4,2.3,0.667,1.92,20.0,0.268,0.752,0.515,0.146,0.556,0.59,99.9,98.41,82.01,8123,0.516,1,10,10,10,8,6,15,11,2,6,1,19,1,4,26,1,1,20,9
1610612765,Detroit Pistons,82,23,59,0.28,48.2,38.2,88.6,0.431,11.3,34.6,0.326,17.2,22.0,0.782,11.0,32.0,43.0,23.5,14.2,7.7,4.8,5.2,21.9,19.8,104.8,-7.7,1,28,28,28,13,29,11,29,26,16,29,13,13,13,8,29,25,24,20,10,14,26,30,14,28,26,Detroit Pistons,82,23,59,0.28,3956.0,103.3,105.6,111.1,113.3,-7.9,-7.7,0.615,1.65,17.1,0.276,0.707,0.481,0.143,0.494,0.533,100.9,98.81,82.34,8141,0.45,1,28,28,28,13,28,24,26,12,23,24,13,26,30,20,30,29,13,29
1610612744,Golden State Warriors,82,53,29,0.646,48.1,40.5,86.4,0.469,14.3,39.4,0.364,15.6,20.3,0.769,9.8,35.7,45.5,27.1,14.9,8.8,4.5,3.9,21.0,18.0,111.0,5.5,1,3,3,3,24,17,21,10,3,3,8,26,26,17,20,2,7,5,29,4,18,2,27,29,15,5,Golden State Warriors,82,53,29,0.646,3946.0,110.5,112.1,103.9,106.6,6.5,5.5,0.669,1.82,19.5,0.269,0.736,0.51,0.15,0.552,0.582,100.7,98.74,82.28,8121,0.536,1,3,3,3,24,16,2,4,1,12,3,15,6,8,29,3,4,15,3
